form_id,interest_type,details,business_name,company_id,company_code,address,created
DPI-0000,Partnerships,Half Partnership,Edwin Clinic,ABN 43 399 724 727,,"120 Perennial Drive, Sunshine North, 3034",15-Feb-2021
DPI-0000,Investments,470000 Long Term,The Trustee for Vinimini Self Managed Super,ABN 46 321 575 688,,,15-Feb-2021
DPI-0000,Other Assets,Morris Minor - Mnti,,,,,15-Feb-2021
DPI-0000,Share Holdings,Afterpay Ltd,,,APT,,15-Feb-2021
DPI-0000,Other Source of Income,Crochet Classes for Execs,Cindy Clinic,ABN 41 347 279 364,,"123 Fred St, Footscray, 3011",15-Feb-2021
DPI-0001,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Johnson & Johnson,,,,29-Dec-2021
DPI-0001,Real Estate,Owned Property for Rental,,,,"123 Fred St, Footscray, 3011",29-Dec-2021
DPI-0001,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Johnson & Johnson,,,,29-Dec-2021
DPI-0001,Trusts/Nominees,Family Trust,Sarah Accounting,,,,29-Dec-2021
DPI-0001,Partnerships,Quarter Partnership,Joshua Property,ABN 45 303 156 248,,"77 Natalia Avenue, Oakleigh South, 3166",29-Dec-2021
DPI-0002,Partnerships,25% Partnership,Tony Builders,ABN 42 355 413 240,,"94 High Street Road, Wantirna South, 3133",21-Sep-2021
DPI-0002,Investments,360000 Family Investment,GP SELF MANAGED SUPERANNUATION FUND,ABN 44 356 165 369,,,21-Sep-2021
DPI-0002,Trusts/Nominees,Business Trust,Mason Builders,,,,21-Sep-2021
DPI-0003,Trusts/Nominees,Family Trust,Matthew Lawyers,,,,26-Sep-2021
DPI-0003,Investments,330000 Investment,JGW SELF MANAGED SUPER TRUST,ABN 41 329 128 864,,,26-Sep-2021
DPI-0003,Share Holdings,Australia and New Zealand Banking Group Ltd,,,ANZ,,26-Sep-2021
DPI-0003,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Johnson & Johnson,,,,26-Sep-2021
DPI-0003,Investments,260000 Investment,The Trustee for SET Managed Future Fund,ABN 43 323 584 552,,,26-Sep-2021
DPI-0004,Partnerships,Half Partnership,Elaine Builders,ABN 41 370 432 783,,"120 George Street, St Albans, 3021",28-Feb-2021
DPI-0004,Share Holdings,Woodside Petroleum Ltd,,,WPL,,28-Feb-2021
DPI-0004,Partnerships,25% Partnership,Nancy Management,ABN 42 383 612 748,,"77 Main Street, Greensborough, 3088",28-Feb-2021
DPI-0004,Real Estate,Rental Property,,,,"77 Natalia Avenue, Oakleigh South, 3166",28-Feb-2021
DPI-0005,Other Assets,1951 Penfolds Grange,,,,,24-Jun-2021
DPI-0005,Share Holdings,Fortescue Metals Group Ltd,,,FMG,,24-Jun-2021
DPI-0005,Real Estate,Property Portfolio,,,,"42 Little Berry Street, Yarraville, 3013",24-Jun-2021
DPI-0005,Trusts/Nominees,Family Trust,Richard Physiotherapy,,,,24-Jun-2021
DPI-0006,Real Estate,Rental Property,,,,"118 Winjeel Court, Braybrook, 3019",19-Jun-2022
DPI-0006,Partnerships,25% Partnership,Scott Builders,ABN 42 331 129 734,,"74 Highview Grove, Burwood East, 3151",19-Jun-2022
DPI-0006,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Pfizer Pharma,,,,19-Jun-2022
DPI-0007,Real Estate,Property Portfolio,,,,"60 Terminal Drive, Melbourne Airport, 3045",26-Nov-2021
DPI-0007,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Purdue Pharma,,,,26-Nov-2021
DPI-0007,Partnerships,Half Partnership,Cindy Clinic,ABN 41 347 279 364,,"123 Fred St, Footscray, 3011",26-Nov-2021
DPI-0007,Other Assets,Singer Sewing Machine,,,,,26-Nov-2021
DPI-0007,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Pfizer Pharma,,,,26-Nov-2021
DPI-0008,Real Estate,Property Portfolio,,,,"109 Merri Creek Trail, Fawkner, 3060",17-Jan-2022
DPI-0008,Trusts/Nominees,Business Trust,Ryan Apparel,,,,17-Jan-2022
DPI-0008,Other Assets,Morris Minor - Mnti,,,,,17-Jan-2022
DPI-0009,Directorships,Non-Executive Director,Tony Builders,ABN 42 355 413 240,,"94 High Street Road, Wantirna South, 3133",23-Jul-2021
DPI-0009,Share Holdings,Amcor Plc,,,AMC,,23-Jul-2021
DPI-0009,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Astra Pharma,,,,23-Jul-2021
DPI-0009,Other Assets,John Deere Historical Tractor,,,,,23-Jul-2021
DPI-0009,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Astra Pharma,,,,23-Jul-2021
DPI-0010,Real Estate,Rental Property,,,,"62 Candy Crescent, Braybrook, 3019",13-Dec-2021
DPI-0010,Partnerships,Quarter Partnership,Kimberly Lawyers,ABN 46 317 150 125,,"71 Haig Court, Doncaster East, 3130",13-Dec-2021
DPI-0010,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,13-Dec-2021
DPI-0011,Investments,270000 Long Term,FARMILO SELF MANAGED SUPER FUND,ABN 47 328 550 156,,,09-Dec-2021
DPI-0011,Partnerships,Quarter Partnership,Steven Hotel,ABN 48 364 668 375,,"64 Foxton Street, St Albans, 3021",09-Dec-2021
DPI-0011,Share Holdings,SOUTH32 Ltd,,,S32,,09-Dec-2021
DPI-0011,Directorships,Director,Kevin Computers,ABN 44 344 159 482,,"87 Agar Drive, Truganina, 3023",09-Dec-2021
DPI-0012,Directorships,Non-Executive Director,Tiffany Apparel,ABN 45 376 312 757,,"73 Kingston Road, Clarinda, 3169",13-Feb-2021
DPI-0012,Other Assets,John Deere Historical Tractor,,,,,13-Feb-2021
DPI-0012,Partnerships,Quarter Partnership,Brandi Apparel,ABN 46 324 412 151,,"78 Somerton Road, Greenvale, 3059",13-Feb-2021
DPI-0012,Investments,890000 Investment,THE TRUSTEE FOR KAYMI SELF MANAGED FUNDR,ABN 46 345 649 637,,,13-Feb-2021
DPI-0012,Directorships,Non-Executive Director,Ryan Apparel,ABN 45 335 745 488,,"74 Blue Lake Circuit, Plenty, 3082",13-Feb-2021
DPI-0013,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,GlaxoSmithKline,,,,22-Sep-2021
DPI-0013,Other Assets,John Deere Historical Tractor,,,,,22-Sep-2021
DPI-0013,Trusts/Nominees,Business Trust,Robert Clinic,,,,22-Sep-2021
DPI-0013,Trusts/Nominees,Family Trust,Matthew Gardening,,,,22-Sep-2021
DPI-0013,Partnerships,Quarter Partnership,Stephanie Finance,ABN 42 341 567 697,,"86 Champion Road, Williamstown North, 3016",22-Sep-2021
DPI-0014,Trusts/Nominees,Business Trust,Paul Builders,,,,23-May-2021
DPI-0014,Directorships,Director,Cindy Clinic,ABN 41 347 279 364,,"123 Fred St, Footscray, 3011",23-May-2021
DPI-0014,Investments,630000 Long Term,The Trustee for Sri Managed Super Fund,ABN 43 399 724 727,,,23-May-2021
DPI-0014,Investments,840000 Investment,The Trustee for Troys Self Managed Supa,ABN 45 381 409 477,,,23-May-2021
DPI-0014,Other Source of Income,Spouse Income from Employer,John Apparel,ABN 45 374 774 544,,"61 Sydney Street, Avondale Heights, 3034",23-May-2021
DPI-0015,Directorships,Non-Executive Director,Maria Property,ABN 46 350 736 329,,"80 Mornington Peninsula Freeway Onramp, Braeside, 3195",30-Dec-2021
DPI-0015,Real Estate,Owned Property for Rental,,,,"87 Agar Drive, Truganina, 3023",30-Dec-2021
DPI-0015,Directorships,Executive Director,Cindy Clinic,ABN 41 347 279 364,,"123 Fred St, Footscray, 3011",30-Dec-2021
DPI-0015,Real Estate,Rental Property,,,,"107 Barkly Close, Brunswick, 3037",30-Dec-2021
DPI-0016,Other Assets,Morris Minor - Mnti,,,,,17-Aug-2021
DPI-0016,Partnerships,25% Partnership,Sara Lawyers,ABN 41 358 411 432,,"53 Yarra Boulevard, Kew, 3078",17-Aug-2021
DPI-0016,Trusts/Nominees,Business Nominee,Alex Apparel,,,,17-Aug-2021
DPI-0016,Directorships,Executive Director,Jennifer Management,ABN 42 322 548 809,,"62 Kingston Boulevard, Brunswick, 3029",17-Aug-2021
DPI-0016,Other Source of Income,Puppet Stand at Local Farmers Market,Ann Physiotherapy,ABN 41 375 498 344,,"36 Amery Street, Reservoir, 3060",17-Aug-2021
DPI-0017,Trusts/Nominees,Business Trust,Richard Clinic,,,,09-May-2021
DPI-0017,Trusts/Nominees,Business Nominee,Joshua Property,,,,09-May-2021
DPI-0017,Directorships,Director,Matthew Digital,ABN 48 337 877 553,,"108 Neil Street, West Footscray, 3012",09-May-2021
DPI-0017,Trusts/Nominees,Business Trust,Cindy Clinic,,,,09-May-2021
DPI-0017,Share Holdings,TPG Telecom Ltd,,,TPG,,09-May-2021
DPI-0018,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Astra Pharma,,,,14-Aug-2021
DPI-0018,Investments,890000 Long Term,THE ROBERTS SELF MANAGED SUPER FUND,ABN 42 331 129 734,,,14-Aug-2021
DPI-0018,Investments,580000 Investment,The trustee for The Sant Self Managed Fund,ABN 42 309 583 387,,,14-Aug-2021
DPI-0018,Real Estate,Property Portfolio,,,,"27 Duncans Road, Werribee South, 3030",14-Aug-2021
DPI-0018,Other Assets,John Deere Historical Tractor,,,,,14-Aug-2021
DPI-0019,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,26-Apr-2021
DPI-0019,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Johnson & Johnson,,,,26-Apr-2021
DPI-0019,Real Estate,Property Portfolio,,,,"120 Perennial Drive, Sunshine North, 3034",26-Apr-2021
DPI-0020,Other Assets,John Deere Historical Tractor,,,,,25-Apr-2022
DPI-0020,Real Estate,Owned Property for Rental,,,,"84 Kinnear Street, Footscray, 3011",25-Apr-2022
DPI-0020,Other Source of Income,Puppet Stand at Local Farmers Market,Rachel Accounting,ABN 47 346 628 832,,"32 Main Yarra Trail Capital City Trail, Burnley, 3121",25-Apr-2022
DPI-0020,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,25-Apr-2022
DPI-0020,Share Holdings,TPG Telecom Ltd,,,TPG,,25-Apr-2022
DPI-0021,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Astra Pharma,,,,14-Feb-2022
DPI-0021,Directorships,Non-Executive Director,Carol Lawyers,ABN 42 372 707 387,,"62 Candy Crescent, Braybrook, 3019",14-Feb-2022
DPI-0021,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,14-Feb-2022
DPI-0022,Share Holdings,QBE Insurance Group Ltd,,,QBE,,30-May-2022
DPI-0022,Other Source of Income,Exec Mentoring,Tiffany Apparel,ABN 45 376 312 757,,"73 Kingston Road, Clarinda, 3169",30-May-2022
DPI-0022,Share Holdings,ASX Ltd,,,ASX,,30-May-2022
DPI-0023,Directorships,Executive Director,Robert Clinic,ABN 43 387 299 747,,"114 Heard Avenue, Plenty, 3090",21-Jul-2021
DPI-0023,Other Source of Income,Crochet Classes for Execs,Scott Builders,ABN 42 331 129 734,,"74 Highview Grove, Burwood East, 3151",21-Jul-2021
DPI-0023,Partnerships,25% Partnership,Michael Clinic,ABN 43 369 376 360,,"39 Phoenix Street, Sunshine North, 3020",21-Jul-2021
DPI-0023,Directorships,Non-Executive Director,Thomas Digital,ABN 45 400 298 800,,"68 Bushmans Way, South Morang, 3090",21-Jul-2021
DPI-0024,Directorships,Executive Director,Sara Lawyers,ABN 41 358 411 432,,"53 Yarra Boulevard, Kew, 3078",05-Sep-2021
DPI-0024,Share Holdings,Suncorp Group Ltd��,,,SUN,,05-Sep-2021
DPI-0024,Real Estate,Rental Property,,,,"71 Collard Drive, Diamond Creek, 3096",05-Sep-2021
DPI-0024,Trusts/Nominees,Business Nominee,Richard Physiotherapy,,,,05-Sep-2021
DPI-0024,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Johnson & Johnson,,,,05-Sep-2021
DPI-0025,Share Holdings,National Australia Bank Ltd,,,NAB,,24-Apr-2022
DPI-0025,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Purdue Pharma,,,,24-Apr-2022
DPI-0025,Investments,560000 Investment,TURNERS MANAGED FUND,ABN 45 400 298 800,,,24-Apr-2022
DPI-0026,Other Source of Income,Crochet Classes for Execs,Lisa Apparel,ABN 43 302 758 581,,"76 Old Eltham Road, Lower Plenty, 3093",21-Sep-2021
DPI-0026,Real Estate,Property Portfolio,,,,"38 Fuge Street, Highett, 3188",21-Sep-2021
DPI-0026,Other Assets,Morris Minor - Mnti,,,,,21-Sep-2021
DPI-0027,Real Estate,Property Portfolio,,,,"27 Duncans Road, Werribee South, 3030",13-Jul-2021
DPI-0027,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Pfizer Pharma,,,,13-Jul-2021
DPI-0027,Partnerships,25% Partnership,Michael Hotel,ABN 46 325 766 730,,"38 Fuge Street, Highett, 3188",13-Jul-2021
DPI-0027,Other Assets,Singer Sewing Machine,,,,,13-Jul-2021
DPI-0027,Real Estate,Property Portfolio,,,,"36 Amery Street, Reservoir, 3060",13-Jul-2021
DPI-0028,Real Estate,Rental Property,,,,"77 Natalia Avenue, Oakleigh South, 3166",23-Dec-2021
DPI-0028,Other Assets,Morris Minor - Mnti,,,,,23-Dec-2021
DPI-0028,Investments,740000 Long Term,THE HITCHENER SELF MANAGED SUPERANNUATION FUND,ABN 46 382 880 578,,,23-Dec-2021
DPI-0028,Real Estate,Property Portfolio,,,,"115 South Centre Road, Melbourne Airport, 3045",23-Dec-2021
DPI-0029,Trusts/Nominees,Business Trust,Karen Computers,,,,09-Feb-2021
DPI-0029,Trusts/Nominees,Business Nominee,Zachary Digital,,,,09-Feb-2021
DPI-0029,Directorships,Director,Jennifer Management,ABN 42 322 548 809,,"62 Kingston Boulevard, Brunswick, 3029",09-Feb-2021
DPI-0029,Trusts/Nominees,Business Trust,Monique Builders,,,,09-Feb-2021
DPI-0029,Trusts/Nominees,Family Trust,Kevin Clinic,,,,09-Feb-2021
DPI-0030,Trusts/Nominees,Family Trust,Kelly Finance,,,,17-Nov-2021
DPI-0030,Share Holdings,Bluescope Steel Ltd,,,BSL,,17-Nov-2021
DPI-0030,Real Estate,Rental Property,,,,"107 Barkly Close, Brunswick, 3037",17-Nov-2021
DPI-0030,Investments,170000 Long Term,The Trustee for Jenke Managed Fund,ABN 46 362 768 601,,,17-Nov-2021
DPI-0031,Share Holdings,Coles Group Ltd��,,,COL,,10-Dec-2021
DPI-0031,Trusts/Nominees,Business Trust,Patrick Apparel,,,,10-Dec-2021
DPI-0031,Other Assets,Singer Sewing Machine,,,,,10-Dec-2021
DPI-0031,Other Assets,John Deere Historical Tractor,,,,,10-Dec-2021
DPI-0032,Other Source of Income,Spouse Income from Employer,Zachary Lawyers,ABN 44 397 380 528,,"51 Lawson Street, Oakleigh East, 3800",07-Jun-2022
DPI-0032,Directorships,Executive Director,Joel Clinic,ABN 42 334 277 307,,"24 Yarra Flats Entry Road, Eaglemont, 3084",07-Jun-2022
DPI-0032,Trusts/Nominees,Family Trust,Nancy Management,,,,07-Jun-2022
DPI-0032,Share Holdings,Transurban Group,,,TCL,,07-Jun-2022
DPI-0033,Partnerships,Quarter Partnership,Scott Property,ABN 48 304 420 514,,"100 Victoria Drive, Thomastown, 3060",29-Mar-2021
DPI-0033,Other Assets,Singer Sewing Machine,,,,,29-Mar-2021
DPI-0033,Trusts/Nominees,Business Nominee,Nicholas Computers,,,,29-Mar-2021
DPI-0033,Share Holdings,Magellan Global Fund (Open Class) (Managed Fund),,,MGO,,29-Mar-2021
DPI-0033,Partnerships,Half Partnership,Alex Apparel,ABN 43 357 160 878,,"61 Kokoda Road, Williamstown, 3016",29-Mar-2021
DPI-0034,Partnerships,Quarter Partnership,Chris Lawyers,ABN 47 393 455 339,,"112 Mulberry Parade, Heidelberg West, 3081",03-Mar-2022
DPI-0034,Directorships,Non-Executive Director,Joshua Property,ABN 45 303 156 248,,"77 Natalia Avenue, Oakleigh South, 3166",03-Mar-2022
DPI-0034,Partnerships,25% Partnership,Maria Property,ABN 46 350 736 329,,"80 Mornington Peninsula Freeway Onramp, Braeside, 3195",03-Mar-2022
DPI-0034,Real Estate,Rental Property,,,,"77 Natalia Avenue, Oakleigh South, 3166",03-Mar-2022
DPI-0035,Partnerships,Half Partnership,Barbara Cleaning,ABN 42 359 586 265,,"100 Calendula Circuit, Epping, 3082",26-Dec-2021
DPI-0035,Other Source of Income,Crochet Classes for Execs,Michael Clinic,ABN 43 369 376 360,,"39 Phoenix Street, Sunshine North, 3020",26-Dec-2021
DPI-0035,Other Assets,1951 Penfolds Grange,,,,,26-Dec-2021
DPI-0035,Trusts/Nominees,Family Trust,Andrew Finance,,,,26-Dec-2021
DPI-0035,Share Holdings,Bluescope Steel Ltd,,,BSL,,26-Dec-2021
DPI-0036,Investments,650000 Long Term,THE SUPERIOR MANAGED SUPERFUND,ABN 46 325 766 730,,,21-Jun-2022
DPI-0036,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,21-Jun-2022
DPI-0036,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Purdue Pharma,,,,21-Jun-2022
DPI-0036,Share Holdings,Amcor Plc,,,AMC,,21-Jun-2022
DPI-0037,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Johnson & Johnson,,,,28-Jan-2022
DPI-0037,Partnerships,Half Partnership,Zachary Lawyers,ABN 44 397 380 528,,"51 Lawson Street, Oakleigh East, 3800",28-Jan-2022
DPI-0037,Directorships,Director,Stephen Events,ABN 46 390 827 581,,"117 Timothy Court, Templestowe, 3106",28-Jan-2022
DPI-0037,Share Holdings,RIO Tinto Ltd,,,RIO,,28-Jan-2022
DPI-0038,Other Source of Income,Spouse Income from Employer,Scott Builders,ABN 42 331 129 734,,"74 Highview Grove, Burwood East, 3151",30-Nov-2021
DPI-0038,Other Assets,Morris Minor - Mnti,,,,,30-Nov-2021
DPI-0038,Share Holdings,QBE Insurance Group Ltd,,,QBE,,30-Nov-2021
DPI-0038,Partnerships,Half Partnership,Sara Lawyers,ABN 41 358 411 432,,"53 Yarra Boulevard, Kew, 3078",30-Nov-2021
DPI-0039,Investments,260000 Long Term,The trustee for Cox Managed Superannuation Fund,ABN 42 332 235 727,,,14-Aug-2021
DPI-0039,Other Source of Income,Spouse Income from Employer,Chris Lawyers,ABN 47 393 455 339,,"112 Mulberry Parade, Heidelberg West, 3081",14-Aug-2021
DPI-0039,Share Holdings,REA Group Ltd,,,REA,,14-Aug-2021
DPI-0039,Other Assets,Morris Minor - Mnti,,,,,14-Aug-2021
DPI-0039,Other Assets,John Deere Historical Tractor,,,,,14-Aug-2021
DPI-0040,Trusts/Nominees,Business Nominee,Kimberly Apparel,,,,29-Jan-2022
DPI-0040,"Gift, Sponsorsored Travel, Hospitality",Travel to International Conference,Purdue Pharma,,,,29-Jan-2022
DPI-0040,Trusts/Nominees,Business Nominee,Christie Property,,,,29-Jan-2022
DPI-0040,Real Estate,Rental Property,,,,"97 Tenth Avenue, Carlton North, 3054",29-Jan-2022
DPI-0040,Other Assets,Singer Sewing Machine,,,,,29-Jan-2022
DPI-0041,Other Source of Income,Crochet Classes for Execs,Amanda Lawyers,ABN 43 311 447 799,,"67 Beauty Point Road, Research, 3113",21-Jun-2022
DPI-0041,Real Estate,Owned Property for Rental,,,,"43 Jenny Rd, Point Cook, 3030",21-Jun-2022
DPI-0041,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,GlaxoSmithKline,,,,21-Jun-2022
DPI-0041,Investments,280000 Family Investment,The Trustee for TDF Managed Superfund,ABN 44 356 165 369,,,21-Jun-2022
DPI-0041,Real Estate,Property Portfolio,,,,"89 Boundary Road, Laverton North, 3026",21-Jun-2022
DPI-0042,Directorships,Non-Executive Director,Arthur Lawyers,ABN 42 368 492 317,,"95 The Crescent, Port Melbourne, 3207",21-Mar-2021
DPI-0042,Share Holdings,RIO Tinto Ltd,,,RIO,,21-Mar-2021
DPI-0042,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Pfizer Pharma,,,,21-Mar-2021
DPI-0042,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,GlaxoSmithKline,,,,21-Mar-2021
DPI-0043,Investments,480000 Long Term,THE TRUSTEE FOR GOTHAM SELF MANAGED SUPER FUND,ABN 47 377 126 660,,,21-May-2021
DPI-0043,Directorships,Executive Director,Matthew Gardening,ABN 48 327 378 235,,"78 Outlook Drive, Eaglemont, 3079",21-May-2021
DPI-0043,Partnerships,Half Partnership,Alex Apparel,ABN 43 357 160 878,,"61 Kokoda Road, Williamstown, 3016",21-May-2021
DPI-0043,Real Estate,Property Portfolio,,,,"78 Somerton Road, Greenvale, 3059",21-May-2021
DPI-0043,Trusts/Nominees,Business Nominee,Alex Apparel,,,,21-May-2021
DPI-0044,Investments,820000 Investment,The Trustee for Simpsons Managed Fund,ABN 42 366 780 774,,,01-Mar-2022
DPI-0044,Share Holdings,Goodman Group,,,GMG,,01-Mar-2022
DPI-0044,Share Holdings,RIO Tinto Ltd,,,RIO,,01-Mar-2022
DPI-0044,Directorships,Executive Director,Keith Management,ABN 46 333 653 400,,"36 Reeve Court, Cheltenham, 3192",01-Mar-2022
DPI-0044,Share Holdings,Tabcorp Holdings Ltd,,,TAH,,01-Mar-2022
DPI-0045,Directorships,Director,Jacob Physiotherapy,ABN 44 352 560 555,,"73 Ellesmere Parade, Rosanna, 3084",10-May-2021
DPI-0045,Trusts/Nominees,Family Trust,Gabriel Digital,,,,10-May-2021
DPI-0045,Investments,760000 Long Term,The Trustee for barea managed fund,ABN 45 301 598 208,,,10-May-2021
DPI-0045,Directorships,Executive Director,Lisa Apparel,ABN 43 302 758 581,,"76 Old Eltham Road, Lower Plenty, 3093",10-May-2021
DPI-0046,Other Source of Income,Puppet Stand at Local Farmers Market,Carol Lawyers,ABN 42 372 707 387,,"62 Candy Crescent, Braybrook, 3019",25-May-2022
DPI-0046,"Gift, Sponsorsored Travel, Hospitality",Louis Vutton Luggage,Purdue Pharma,,,,25-May-2022
DPI-0046,Share Holdings,Resmed Inc,,,RMD,,25-May-2022
DPI-0047,Share Holdings,Goodman Group,,,GMG,,05-May-2022
DPI-0047,Investments,790000 Long Term,KARPE SELF MANAGED SUPER FUND,ABN 45 307 376 146,,,05-May-2022
DPI-0047,"Gift, Sponsorsored Travel, Hospitality",Gold Coast Conference,Pfizer Pharma,,,,05-May-2022
DPI-0047,Directorships,Director,Joseph Builders,ABN 47 312 269 347,,"71 Collard Drive, Diamond Creek, 3096",05-May-2022
DPI-0047,Trusts/Nominees,Family Trust,Jared Builders,,,,05-May-2022
DPI-0048,Share Holdings,Wisetech Global Ltd,,,WTC,,07-May-2021
DPI-0048,Share Holdings,Wesfarmers Ltd,,,WES,,07-May-2021
DPI-0048,Share Holdings,Wesfarmers Ltd,,,WES,,07-May-2021
